name,city,city_slug,address,comments
MEIN LIEBES FROLLEIN,Leipzig,leipzig,"Fichtestraße 15, 04275 Leipzig",
Café NiMo,Leipzig,leipzig,"August-Bebel-Straße 1, 04275 Leipzig",
Café Luise,Leipzig,leipzig,"Bosestraße 4, 04109 Leipzig",
SimpliOffice Coworking Space & Eventlocation Leipzig,Leipzig,leipzig,"Markgrafenstraße 2, 04109 Leipzig",
Café Grundmann,Leipzig,leipzig,"Mahlmannstraße 16, 04107 Leipzig, Deutschland",
Café Kune,Leipzig,leipzig,"Eisenbahnstraße 107, 04315 Leipzig",
Franz Morish Kaffeerösterei,Leipzig,leipzig,"Karl-Liebknecht-Straße 74, 04275 Leipzig",
Café Waldi,Leipzig,leipzig,"Peterssteinweg 10, 04107 Leipzig",
Café Cantona,Leipzig,leipzig,"Karl-Heine-Straße 22b, 04229 Leipzig, Deutschland",
