name,city,city_slug,address,comments
Yellow Tile Coffee Project,Nürnberg,nuernberg,"Humboldtstraße 67, 90459, Nürnberg",
Next Door Coffee Club,Nürnberg,nuernberg,"Allersberger Straße 162, 90461",
White Bulldog,Nürnberg,nuernberg,"Hirschelgasse 1, 90403 Nürnberg",
Balazzo Brozzi,Nürnberg,nuernberg,"Hochstraße 2, 90429 Nürnberg",
Espressolab - Das Herzstück,Nürnberg,nuernberg,"Schillerstraße 14, 90409 Nürnberg",
Espressolab - Theresienstraße,Nürnberg,nuernberg,"Theresienstraße 14, 90403 Nürnberg",
Palais Schaumburg,Nürnberg,nuernberg,"Kernstr. 46, 90429 Nürnberg",
Das Café Mainheim,Nürnberg,nuernberg,"Bauerngasse 18, 90443 Nürnberg",
